0,1,2,3,4
Ravintola Hella,4c1b338055e4c9b699f64823,65.0140443796593,25.476233524146643,Restaurant
Teatteri Rio,4bb36df042959c74f0e4212c,65.01315650894455,25.474035632569333,Theater
Ravintola Sauraha,53dcae1c498e62f1e98e7afc,65.01323048511148,25.477114898225054,Asian Restaurant
BusinessOulu Liikelaitos,538ebc58498eb2165c04965c,65.01375,25.51039,Business Service
Vaparila,4e94434329c2e7c7fe81ef74,65.01399803122885,25.513256929238764,Gym
Peltolan leikkipuisto,523b187511d2c47a2a0736e3,65.01409912109375,25.518966674804688,Playground
Kofeiinikomppania,4cffb30eba1da1cd3fad8428,65.01288713217306,25.463160299352136,Tea Room
Phuket Thai Take Away,4f9ff010a17c7ac321f44bee,65.01284620163787,25.466423862395366,Thai Restaurant
Café Kuluma,4b9d1c81f964a520ac9036e3,65.01294381735487,25.466679550667976,Bar
Bar & Grill Kauppuri 5,4bd1c93677b29c7498368d82,65.01280784716843,25.466834555849907,Burger Joint
Jumpru pub,4c3e32ee0596c9289ef48378,65.01268510947654,25.46666046724453,Pub
Kaarlenholvi,4be33622f07b0f47a462f743,65.01262415941171,25.466667047625762,Nightclub
Ravintola Da Max,4dc5a51cd164eb9c9ff50f4f,65.01268539717101,25.466940650770994,Pizza Place
1bar,4bed624a6e8c20a1eb407061,65.01261606282108,25.46702217710587,Cocktail Bar
Winger,52e8109f11d279a42af2390a,65.01231649058505,25.465747457286454,Bar
Pub Graali,4bb649996edc76b05fb2301c,65.01217498849572,25.465531286491217,Pub
Cafe Piha,57471e00498ef29835638c38,65.01253545566333,25.46756860958474,Café
Flavour Palace,4bfc0f7fe05e0f47f91fcfa8,65.01204039639099,25.465563127021277,Chinese Restaurant
Punnitse & Säästä,50b0b73be4b0211a321ecee2,65.01241343925126,25.46781855154219,Gourmet Shop
Alko,4c80ddf5d4e2370411f95788,65.01207550630369,25.468338569283063,Liquor Store
Cafe Bisketti,4b9510abf964a520ac8d34e3,65.0123764155581,25.4709548233318,Café
Cocktail Company,524d9820498e84184ce1f5ca,65.01238101445361,25.471214863767443,Cocktail Bar
Antell Rotuaari,4c615aeb12e5c9282c58214c,65.01232864862449,25.471200188650393,Café
Amarillo,4bad01a2f964a520aa233be3,65.01231839480276,25.471936121047587,Mexican Restaurant
Oluthuone Leskinen,4b536515f964a520a49a27e3,65.01203295157367,25.47051028617225,Pub
Burger King,55292791498eddb919a60025,65.01203,25.4712299,Fast Food Restaurant
Ravintola Pannu,4bc4358cb492d13a05bba960,65.01202925297476,25.469539919148694,Italian Restaurant
Puistola Bistro,4b7ed4f5f964a520cb0230e3,65.01242769844363,25.47304630279541,Scandinavian Restaurant
