0,1,2,3
Sohvin Eläintarvike,61.500394,23.768242,Pet Service
Subway,61.50022525620958,23.771089156662022,Sandwich Place
A5,61.500491,23.770278,High School
A7,61.500195041629375,23.770060387874445,High School
A6,61.500268120876406,23.769960225875522,High School
Clasun Cellari,61.5004804612449,23.769949371003964,High School
sweco industry oy,61.500371110240486,23.77041275566146,Building
Clasun sali,61.5004,23.7699,High School
Vakuutus Lähitapiola,61.50014877319336,23.7706241607666,Office
Tropic Life,61.50034930238108,23.77096547282232,Pet Store
B5,61.50061699207896,23.76933236919267,High School
CK's koskipuisto apartment,61.500591,23.769432,Residential Building (Apartment / Condo)
